Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;131;149
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;172
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;157;175
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;160;178
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;163;181
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;166;184
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;169;187
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;172;190
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;175;193
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;178;196
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;181;199
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;184;202
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;187;205
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;190;208
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;193;211
[CODE-MAX]_1;43;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;196;214
[CODE-MAX]_2;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;131;152
[CODE-MAX]_2;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;175
[CODE-MAX]_2;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;169;190
[CODE-MAX]_2;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;178;199
[CODE-MAX]_2;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;193;214
[CODE-MAX]_2;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;196;217
[CODE-MAX]_3;64;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;181
[CODE-MAX]_3;64;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;157;184
[CODE-MAX]_3;64;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;184;211
[CODE-MAX]_3;64;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;187;214
[CODE-MAX]_4;57;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;178
[CODE-MAX]_4;57;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;163;187
[CODE-MAX]_4;57;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;181;205
[CODE-MAX]_4;57;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;190;214
[CODE-MAX]_5;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/IMSVishnuException.hpp;18;46
[CODE-MAX]_5;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/TMSVishnuException.hpp;24;57
[CODE-MAX]_5;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/UMSVishnuException.hpp;48;80
[CODE-MAX]_6;87;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/QueryProxy.hpp;234;253
[CODE-MAX]_6;87;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/QueryProxy.hpp;259;278
[CODE-MAX]_6;87;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/QueryProxy.hpp;327;346
[CODE-MAX]_6;87;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/QueryProxy.hpp;352;371
[CODE-MAX]_7;112;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;503;538
[CODE-MAX]_7;112;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;624;659
[CODE-MAX]_8;36;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;169
[CODE-MAX]_8;36;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;172;187
[CODE-MAX]_8;36;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;181;196
[CODE-MAX]_8;36;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;199;214
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;131;137
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;134;140
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;140;146
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;143;149
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;160
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;163;169
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;199;205
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;208;214
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;166
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;169;181
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;187;199
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;202;214
[CODE-MAX]_11;33;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/IMSVishnuException.cpp;5;21
[CODE-MAX]_11;33;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/TMSVishnuException.cpp;4;20
[CODE-MAX]_11;33;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/UMSVishnuException.cpp;3;16
[CODE-MAX]_12;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.hpp;51;57
[CODE-MAX]_12;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/VishnuException.hpp;105;112
