Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_1;136;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;168;191
[CODE-MAX]_1;136;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;180;203
[CODE-MAX]_1;136;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;192;215
[CODE-MAX]_1;136;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;204;227
[CODE-MAX]_2;138;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/get_completed_jobs_output.cpp;67;112
[CODE-MAX]_2;138;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/get_job_info.cpp;68;113
[CODE-MAX]_3;91;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/api/api_tms.cpp;163;201
[CODE-MAX]_3;91;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/api/api_tms.cpp;202;242
[CODE-MAX]_4;60;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;157;167
[CODE-MAX]_4;60;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;168;178
[CODE-MAX]_4;60;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;180;190
[CODE-MAX]_4;60;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;192;202
[CODE-MAX]_4;60;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;204;214
[CODE-MAX]_4;60;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;216;226
[CODE-MAX]_4;60;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;229;239
[CODE-MAX]_5;68;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;168;179
[CODE-MAX]_5;68;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;180;191
[CODE-MAX]_5;68;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;192;203
[CODE-MAX]_5;68;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;204;215
[CODE-MAX]_5;68;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;216;227
[CODE-MAX]_5;68;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;229;240
[CODE-MAX]_6;109;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;77;111
[CODE-MAX]_6;109;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;211;245
[CODE-MAX]_7;87;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;52;72
[CODE-MAX]_7;87;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;133;154
[CODE-MAX]_7;87;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;195;217
[CODE-MAX]_8;76;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;58;73
[CODE-MAX]_8;76;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;52;67
