Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;148;169
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;183;206
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;196;219
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;245;268
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;270;293
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;331;354
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;344;367
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;357;380
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;370;393
[CODE-MAX]_1;98;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;383;405
[CODE-MAX]_2;174;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/cli/delete_machine.cpp;13;131
[CODE-MAX]_2;174;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/cli/restore_configuration.cpp;12;129
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;121;130
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;137;146
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;148;156
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;160;168
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;171;180
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;183;192
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;196;205
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;209;218
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;222;230
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;233;242
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;245;254
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;258;267
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;270;279
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;283;292
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;295;304
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;307;316
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;319;328
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;331;340
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;344;353
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;357;366
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;370;379
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;383;392
[CODE-MAX]_3;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;396;404
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;121;131
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;148;157
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;160;169
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;171;181
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;183;193
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;196;206
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;209;219
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;222;231
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;233;243
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;258;268
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;283;293
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;295;305
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;307;317
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;319;329
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;331;341
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;344;354
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;357;367
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;370;380
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;383;393
[CODE-MAX]_4;45;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/UMS/src/sed/ServerUMS.cpp;396;405
