File;Line;Severity;Rule;Description
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\utils\CLICmd.hpp;31;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\utils\cliError.hpp;14;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\utils\cliError.hpp;15;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\utils\cliUtil.hpp;9;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\utils\cliUtil.hpp;14;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\utils\cliUtil.hpp;53;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\CommonParser.cpp;10;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\CommonParser.cpp;11;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\CommonParser.hpp;31;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\constants.cpp;6;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\constants.hpp;18;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\constants.hpp;18;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\constants.hpp;18;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\constants.hpp;18;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\constants.hpp;18;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.1.0\core\src\config\constants.hpp;18;Required;MISRA_0_1_3;Unused variables
