Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_1;106;VISHNU_1.2.2/core/src/registry/FMSMapper.cpp;138;183
[CODE-MAX]_1;106;VISHNU_1.2.2/core/src/registry/IMSMapper.cpp;135;180
[CODE-MAX]_1;106;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;154;199
[CODE-MAX]_1;106;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;157;202
[CODE-MAX]_1;106;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;160;205
[CODE-MAX]_1;106;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;163;208
[CODE-MAX]_1;106;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;166;211
[CODE-MAX]_2;281;VISHNU_1.2.2/FMS/src/sed/mkdirSrv.cpp;1;103
[CODE-MAX]_2;281;VISHNU_1.2.2/FMS/src/sed/mkfileSrv.cpp;1;104
[CODE-MAX]_2;281;VISHNU_1.2.2/FMS/src/sed/rmdirSrv.cpp;1;99
[CODE-MAX]_3;222;VISHNU_1.2.2/core/src/registry/FMSMapper.cpp;43;117
[CODE-MAX]_3;222;VISHNU_1.2.2/core/src/registry/IMSMapper.cpp;42;115
[CODE-MAX]_3;222;VISHNU_1.2.2/core/src/registry/TMSMapper.cpp;36;111
[CODE-MAX]_3;222;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;57;130
[CODE-MAX]_4;188;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;164;211
[CODE-MAX]_4;188;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;225;272
[CODE-MAX]_4;188;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;262;309
[CODE-MAX]_4;188;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;162;208
[CODE-MAX]_4;188;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;224;270
[CODE-MAX]_4;188;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;309;356
[CODE-MAX]_5;143;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;151;186
[CODE-MAX]_5;143;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;188;223
[CODE-MAX]_5;143;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;249;284
