First File;Second File;% of first in second;Number of lines not in second
VISHNU_1.2.2/IMS/src/server/data/export/shell/TMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/UMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/UMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/TMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/IMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/UMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/UMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/IMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/IMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/TMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/TMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/IMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/FMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/UMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/UMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/FMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/FMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/TMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/TMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/FMSShellMapper.cpp;100;0
VISHNU_1.2.2/IMS/src/server/data/export/shell/FMSShellMapper.cpp;VISHNU_1.2.2/IMS/src/server/data/export/shell/IMSShellMapper.cpp;100;0
